context_relevance,answer_relevance,context_precision,context_recall,faithfulness
0.5627007484436035,0.8252913951873779,0.5184887647628784,0.813251256942749,0.5812666416168213
0.5529924631118774,0.682793378829956,0.5129951238632202,0.7157278060913086,0.5833383798599243
0.5230936408042908,0.7618975639343262,0.7640937111062118,0.7360696792602539,0.6066408753395081
0.5752652883529663,0.7701642513275146,0.5395234227180481,0.8262780904769897,0.6081467866897583
0.6139559745788574,0.7170610427856445,0.5313826203346252,0.7585558891296387,0.6239075660705566
0.688286304473877,0.825416624546051,0.7335375243433037,0.7784770727157593,0.689639151096344
0.5979596972465515,0.7357886433601379,0.7829146655380855,0.6928648352622986,0.6285511255264282
0.30847373604774475,0.7184216976165771,0.6756010931263673,0.5790653824806213,0.4801828861236572
0.58625328540802,0.6594522595405579,0.37,0.8007718324661255,0.6234169006347656
0.5806451439857483,0.7354751825332642,0.8426373629504533,0.7689756751060486,0.6307359933853149
0.45965656638145447,0.6424762010574341,0.33333333333333337,0.7579281330108643,0.5882264375686646
0.3000895082950592,0.5643247961997986,0.534620879668922,0.6859201192855835,0.5224426984786987
0.5004627704620361,0.7564043998718262,0.5066715478897095,0.7391078472137451,0.5873858332633972
0.5729764699935913,0.640292763710022,0.4416666666666666,0.8166211247444153,0.5655444860458374
0.5598697066307068,0.8306499123573303,0.5205774903297424,0.7786350846290588,0.6240012049674988
0.6308437585830688,0.6891369819641113,0.509314775466919,0.727530837059021,0.5845126509666443
0.5094121694564819,0.7525755167007446,0.3833333333333333,0.698693037033081,0.5675615072250366
0.5785686373710632,0.7651171684265137,0.5337111949920654,0.7173303961753845,0.606127917766571
0.5370141863822937,0.7388854026794434,0.8584452731928109,0.7430079579353333,0.6234024167060852
0.48303309082984924,0.6714861392974854,0.5296347737312317,0.6301170587539673,0.56439608335495
0.5081300139427185,0.6985079050064087,0.3577777777777778,0.7189466953277588,0.5168329477310181
0.6145108342170715,0.731299638748169,0.5292433500289917,0.7533414363861084,0.6305773258209229
0.5982742309570312,0.8031076192855835,0.8223562725832865,0.7824878692626953,0.6320682764053345
0.48226022720336914,0.7652871608734131,0.611995871111364,0.6819162368774414,0.5178050994873047
0.5875951051712036,0.6584051847457886,0.7440971384655723,0.7762216329574585,0.5590542554855347
0.5088781118392944,0.7754166126251221,0.8051675447583836,0.6926805973052979,0.5823145508766174
0.5037517547607422,0.7346831560134888,0.3866666666666667,0.7226513624191284,0.5188494920730591
0.5047895312309265,0.773716926574707,0.3666666666666667,0.6531280279159546,0.528264045715332
0.4343233108520508,0.6705403327941895,0.5110011100769043,0.6878955364227295,0.491799920797348
0.4972447156906128,0.8857258558273315,0.6226182191748556,0.719271183013916,0.6651958227157593
